group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
big_file_tail,,,,,85257336.0,ns,2
big_file_tail,,,,,60657889.0,ns,2
big_file_tail,,,,,65609523.0,ns,2
big_file_tail,,,,,58281335.0,ns,2
big_file_tail,,,,,60401373.0,ns,2
big_file_tail,,,,,62092551.0,ns,2
big_file_tail,,,,,68300337.0,ns,2
big_file_tail,,,,,66707049.0,ns,2
big_file_tail,,,,,65395436.0,ns,2
big_file_tail,,,,,63502896.0,ns,2
big_file_tail,,,,,66695059.0,ns,2
big_file_tail,,,,,62271335.0,ns,2
big_file_tail,,,,,62540228.0,ns,2
big_file_tail,,,,,66800598.0,ns,2
big_file_tail,,,,,68133306.0,ns,2
big_file_tail,,,,,63297416.0,ns,2
big_file_tail,,,,,64179515.0,ns,2
big_file_tail,,,,,65695790.0,ns,2
big_file_tail,,,,,60934756.0,ns,2
big_file_tail,,,,,62538618.0,ns,2
big_file_tail,,,,,59824576.0,ns,2
big_file_tail,,,,,60625728.0,ns,2
big_file_tail,,,,,64833326.0,ns,2
big_file_tail,,,,,58638823.0,ns,2
big_file_tail,,,,,62646372.0,ns,2
big_file_tail,,,,,61198566.0,ns,2
big_file_tail,,,,,61252772.0,ns,2
big_file_tail,,,,,58667073.0,ns,2
big_file_tail,,,,,61105753.0,ns,2
big_file_tail,,,,,60696091.0,ns,2
big_file_tail,,,,,60144531.0,ns,2
big_file_tail,,,,,71052415.0,ns,2
big_file_tail,,,,,63177024.0,ns,2
big_file_tail,,,,,63977907.0,ns,2
big_file_tail,,,,,65040513.0,ns,2
big_file_tail,,,,,63094727.0,ns,2
big_file_tail,,,,,63126110.0,ns,2
big_file_tail,,,,,77034125.0,ns,2
big_file_tail,,,,,70958047.0,ns,2
big_file_tail,,,,,71471588.0,ns,2
big_file_tail,,,,,68556034.0,ns,2
big_file_tail,,,,,68163368.0,ns,2
big_file_tail,,,,,66354564.0,ns,2
big_file_tail,,,,,64795767.0,ns,2
big_file_tail,,,,,72433667.0,ns,2
big_file_tail,,,,,76297578.0,ns,2
big_file_tail,,,,,79308863.0,ns,2
big_file_tail,,,,,70420647.0,ns,2
big_file_tail,,,,,66906617.0,ns,2
big_file_tail,,,,,60228035.0,ns,2
big_file_tail,,,,,54386881.0,ns,2
big_file_tail,,,,,58521990.0,ns,2
big_file_tail,,,,,66966936.0,ns,2
big_file_tail,,,,,64275058.0,ns,2
big_file_tail,,,,,60731142.0,ns,2
big_file_tail,,,,,60128875.0,ns,2
big_file_tail,,,,,57651571.0,ns,2
big_file_tail,,,,,59129638.0,ns,2
big_file_tail,,,,,65060651.0,ns,2
big_file_tail,,,,,60251403.0,ns,2
big_file_tail,,,,,58542195.0,ns,2
big_file_tail,,,,,61765784.0,ns,2
big_file_tail,,,,,66501416.0,ns,2
big_file_tail,,,,,67437935.0,ns,2
big_file_tail,,,,,64127449.0,ns,2
big_file_tail,,,,,63516796.0,ns,2
big_file_tail,,,,,63970608.0,ns,2
big_file_tail,,,,,63433777.0,ns,2
big_file_tail,,,,,67322596.0,ns,2
big_file_tail,,,,,71665168.0,ns,2
big_file_tail,,,,,63468695.0,ns,2
big_file_tail,,,,,68321208.0,ns,2
big_file_tail,,,,,89606828.0,ns,2
big_file_tail,,,,,67624700.0,ns,2
big_file_tail,,,,,64281464.0,ns,2
big_file_tail,,,,,75546161.0,ns,2
big_file_tail,,,,,77503555.0,ns,2
big_file_tail,,,,,89757314.0,ns,2
big_file_tail,,,,,93803716.0,ns,2
big_file_tail,,,,,72193969.0,ns,2
big_file_tail,,,,,59304680.0,ns,2
big_file_tail,,,,,58136935.0,ns,2
big_file_tail,,,,,57006651.0,ns,2
big_file_tail,,,,,62808252.0,ns,2
big_file_tail,,,,,59510648.0,ns,2
big_file_tail,,,,,66829989.0,ns,2
big_file_tail,,,,,60355201.0,ns,2
big_file_tail,,,,,57307445.0,ns,2
big_file_tail,,,,,59753678.0,ns,2
big_file_tail,,,,,60277359.0,ns,2
big_file_tail,,,,,72264074.0,ns,2
big_file_tail,,,,,70112435.0,ns,2
big_file_tail,,,,,73405080.0,ns,2
big_file_tail,,,,,62087665.0,ns,2
big_file_tail,,,,,70958788.0,ns,2
big_file_tail,,,,,71605701.0,ns,2
big_file_tail,,,,,76882310.0,ns,2
big_file_tail,,,,,80318768.0,ns,2
big_file_tail,,,,,68792283.0,ns,2
big_file_tail,,,,,70422284.0,ns,2
